,time (ms),velocity (rpm),target (rpm)
0,104,0,95
1,124,0,95
2,134,0,95
3,144,0,95
4,154,0,95
5,164,0,95
6,174,0,95
7,184,0,95
8,194,0,95
9,204,0,95
10,214,0,95
11,224,0,95
12,234,0,95
13,244,0,95
14,254,0,95
15,264,0,95
16,274,0,95
17,284,0,95
18,294,0,95
19,304,0,95
20,314,0,95
21,324,0,95
22,334,0,95
23,344,0,95
24,354,0,95
25,364,0,95
26,374,0,95
27,384,0,95
28,394,0,95
29,404,0,95
30,414,0,95
31,424,0,95
32,434,0,95
33,444,0,95
34,454,0,95
35,464,0,95
36,474,0,95
37,484,0,95
38,494,0,95
39,504,0,95
40,514,0,95
41,524,0,95
42,534,0,95
43,544,0,95
44,554,0,95
45,564,0,95
46,574,0,95
47,584,0,95
48,594,0,95
49,604,0,95
50,614,0,95
51,624,0,95
52,634,0,95
53,644,0,95
54,654,0,95
55,664,0,95
56,674,0,95
57,684,0,95
58,694,0.02,95
59,704,0.04,95
60,714,0.07,95
61,724,1.45,95
62,734,3.19,95
63,744,5.13,95
64,754,6.72,95
65,764,8.11,95
66,774,9.85,95
67,784,11.79,95
68,794,13.38,95
69,804,14.77,95
70,814,16.04,95
71,824,18.19,95
72,834,19.89,95
73,844,21.82,95
74,854,23.9,95
75,864,25.44,95
76,874,26.74,95
77,884,28.56,95
78,894,30.6,95
79,904,32.74,95
80,914,34.1,95
81,924,35.95,95
82,934,37.38,95
83,944,38.84,95
84,954,40.11,95
85,964,41.29,95
86,974,43.05,95
87,984,44.44,95
88,994,46.3,95
89,1004,47.74,95
90,1014,49.62,95
91,1024,50.45,95
92,1034,51.44,95
93,1044,52.49,95
94,1054,53.79,95
95,1064,55.01,95
96,1074,56.18,95
97,1084,57.32,95
98,1094,58.46,95
99,1104,59.58,95
100,1114,60.7,95
101,1124,61.81,95
102,1134,62.93,95
103,1144,64.04,95
104,1154,65.62,95
105,1164,66.53,95
106,1174,67.53,95
107,1184,68.1,95
108,1194,69.38,95
109,1204,70.11,95
110,1214,71,95
111,1224,71.99,95
112,1234,73.03,95
113,1244,74.1,95
114,1254,74.71,95
115,1264,75.54,95
116,1274,76.02,95
117,1284,76.76,95
118,1294,77.66,95
119,1304,78.65,95
120,1314,79.22,95
121,1324,80.02,95
122,1334,80.95,95
123,1344,81.49,95
124,1354,81.8,95
125,1364,82.45,95
126,1374,83.29,95
127,1384,83.78,95
128,1394,84.06,95
129,1404,84.69,95
130,1414,85.06,95
131,1424,85.15,95
132,1434,85.23,95
133,1444,85.7,95
134,1454,86.09,95
135,1464,86.62,95
136,1474,87.11,95
137,1484,87.86,95
138,1494,88.3,95
139,1504,89.02,95
140,1514,89.43,95
141,1524,89.67,95
142,1534,89.81,95
143,1544,90.36,95
144,1554,90.68,95
145,1564,91.33,95
146,1574,91.24,95
147,1584,91.65,95
148,1594,91.89,95
149,1604,92.5,95
150,1614,92.85,95
151,1624,92.59,95
152,1634,92.9,95
153,1644,93.08,95
154,1654,93.66,95
155,1664,93.52,95
156,1674,93.49,95
157,1684,93.46,95
158,1694,93.85,95
159,1704,94.17,95
160,1714,94.64,95
161,1724,94.6,95
162,1734,94.78,95
163,1744,94.93,95
164,1754,95.25,95
165,1764,95.31,95
166,1774,95.35,95
167,1784,95.18,95
168,1794,95.25,95
169,1804,95.31,95
170,1814,95.56,95
